year,bank_group,gross_npa_cr,gross_adv_cr,gnpa_ratio,credit_growth,roa,repo_rate,cpi_avg,iip_avg,gdp_growth,credit_growth_lag1,credit_growth_lag2,credit_growth_3y_avg,gnpa_next1yr,gnpa_next2yr,stress_next1yr,stress_next2yr,net_npa_cr,pcr
2025,Foreign,5321.3997,618379.009868,0.8605401566162333,13.231157033309191,1.696364,6.458,1.895,4.685,7.005,8.370355272691722,5.850769094141972,9.150760466714296,,,,,775.925401,85.418772414333
2018,PSB,895601.297,6141698.163,14.582307258201874,,-0.843,6.083,4.491,4.418,6.218,,,,11.587082433885984,10.254052418789204,1.0,1.0,454472.66,49.2550243593495
2019,PSB,739541.0,6382460.85,11.587082433885984,3.920132194878101,-0.650991739334,6.333,4.197,3.914,5.833,,,,10.254052418789204,9.107570653395385,1.0,1.0,285122.17,61.44606316620715
2020,PSB,678317.01,6615111.59,10.254052418789204,3.6451573377062063,-0.231959806,5.371,4.249,-0.639,3.951,3.920132194878101,,3.7826447662921536,9.107570653395385,7.277784859255212,1.0,1.0,230917.5944,65.95727499152646
2021,PSB,616615.55,6770362.52,9.107570653395385,2.3469132438323603,0.281151863447,4.033,4.287,-8.202,-4.268,3.6451573377062063,3.920132194878101,3.304067592138889,7.277784859255212,4.973190084184582,1.0,0.0,196450.8,68.14047261701396
2022,PSB,540958.21,7433006.34,7.277784859255212,9.787420068608087,0.546734,4.0,4.462,7.718,10.252,2.3469132438323603,3.6451573377062063,5.259830216715552,4.973190084184582,3.474101414140919,0.0,0.0,154745.38,71.39420806646044
2023,PSB,428197.37,8610114.69,4.973190084184582,15.836234978914332,0.785888,5.567,2.81,5.513,6.962,9.787420068608087,2.3469132438323603,9.323522763784927,3.474101414140919,2.583864025950737,0.0,0.0,102531.543993,76.05507385694592
2024,PSB,339540.873,9773487.6598,3.474101414140919,13.511701198953483,0.956664,6.5,1.53,5.901,8.189,15.836234978914332,9.787420068608087,13.045118748825304,2.583864025950737,,0.0,,72543.850151,78.63472237965294
2025,PSB,283650.4347,10977761.6721,2.583864025950737,12.321845120379926,1.096402,6.458,1.895,4.685,7.005,13.511701198953483,15.836234978914332,13.889927099415914,,,,,55634.287951,80.38632022198695
2004,Private,10206.42,174652.39,5.843847885505602,,,,,,,,,,3.829193256113096,2.4115469494136264,0.0,0.0,,
2005,Private,8564.5,223663.3,3.829193256113096,28.06197498929157,1.055111,,,,,,,,2.4115469494136264,2.186538383372266,0.0,0.0,4211.5522,50.825474925564826
2006,Private,7598.81,315101.06,2.4115469494136264,40.88187914601993,1.070226,,,,,28.06197498929157,,34.47192706765575,2.186538383372266,2.4674479042350663,0.0,0.0,3170.29,58.27912528409054
2007,Private,9145.0,418241.0,2.186538383372266,32.73233673031757,1.024663,,,,,40.88187914601993,28.06197498929157,33.89206362187635,2.4674479042350663,2.918707442201124,0.0,0.0,4028.15,55.95243302351012
2008,Private,12922.0,523699.0,2.4674479042350663,25.2146489703305,1.131446,,,,,32.73233673031757,40.88187914601993,32.94295494888933,2.918707442201124,2.9863101775870584,0.0,0.0,5646.94,56.29979879275654
2009,Private,16787.435,575166.759,2.918707442201124,9.82773673426911,1.128267,,,,,25.2146489703305,32.73233673031757,22.591574144972395,2.9863101775870584,2.475773688870482,0.0,0.0,7412.027,55.84776947758845
2010,Private,17306.71,579534.91,2.9863101775870584,0.7594581800232536,1.276851,,,,,9.82773673426911,25.2146489703305,11.933947961540952,2.475773688870482,2.089185081064883,0.0,0.0,6505.9845,62.407733763378495
2011,Private,17904.93,723205.44,2.475773688870482,24.790660151948373,1.42593,6.5,6.535,7.925,,0.7594581800232536,9.82773673426911,11.79261835541358,2.089185081064883,1.7704005903723434,0.0,0.0,4432.1592,75.2461517582029
2012,Private,18210.2,871641.3,2.089185081064883,20.524715632670045,1.531266,8.023,5.671,3.242,,24.790660151948373,0.7594581800232536,15.35827798821389,1.7704005903723434,1.7778680943248513,0.0,0.0,4401.2122,75.83106061438095
2013,Private,20381.672,1151246.34,1.7704005903723434,32.07799355078747,1.634422,7.932,6.647,1.036,5.459,20.524715632670045,24.790660151948373,25.797789778468623,1.7778680943248513,2.09603216585202,0.0,0.0,5994.3708,70.58940601144008
